Title,Year,Franchise,Ref.
10 Cloverfield Lane,2016,Cloverfield,[1]
20 Million Miles to Earth,1957,One-Shot[2]
2001: A Space Odyssey,1968,Space Odyssey,[3]
2001: A Space Travesty,2000,One-Shot[4]
2010: The Year We Make Contact,1984,Space Odyssey,[5]
The 5th Wave,2016,[6]
6 Days on Earth,2011,[7]
Abbott and Costello Go to Mars,1953,Abbott and Costello,[8]
"Abraxas, Guardian of the Universe",1990,[9]
Absolutely Anything,2015,[3]
The Abyss,1989,[10]
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,[10]
Aelita,1924,[11]
After Earth,2013,[3]
Airplane II: The Sequel,1982,Airplane,[12]
Algol: Tragedy of Power,1920,[10]
Alien,1979,Alien[10]
Alien 2: On Earth,1980,[13]
Alien 3,1992,Alien[9]
Alien Abduction,2005,[14]
Alien Abduction,2014,[15]
Alien Abduction: Incident in Lake County,1998,[16]
Alien Agent,2007,[17]
Alien Apocalypse,2005,[18]
Alien Arsenal,1999,[19]
Alien: Covenant,2017,Alien[20]
The Alien Factor,1978,[21]
Alien Hunter,2003,[22]
Alien Intruder,1993,[23]
Alien Invasion Arizona,2005,[24]
Alien Nation,1988,Alien Nation,[10]
Alien Origin,2012,[25]
Alien Raiders,2008,[26]
Alien Resurrection,1997,Alien[27]
Alien Siege,2005,
Alien Trespass,2009,[28]
Aliens,1986,Alien[29]
Aliens Ate My Homework,2018,[30]
Aliens in the Attic,2009,[31]
Aliens vs. Avatars,2011,[32]
Alien vs. Predator,2004,Alien vs. Predator[3]
Aliens vs. Predator: Requiem,2007,Alien vs. Predator[33]
Alien vs Ninja,2010,[34]
Allegro Non Troppo,1976,[35]
Almost Human,2013,[36]
Altered,2006,[36]
All-Star Superman,2011,DC - Superman
Amazon Women on the Moon,1987,[37]
The Andromeda Strain,1971,[38]
The Angry Red Planet,1959,[39]
Angry Video Game Nerd: The Movie,2014,[40]
Annihilation,2018,[41]
Apollo 18,2011,[42]
Area 51,2015,[43]
Area Q,2011,[44]
Arena,1989,[45]
The Arrival,1996,Arrival[33]
Arrival,2016,[46]
Arrival II,1998,Arrival[47]
Los astronautas,1964,[48]
The Astronaut's Wife,1999,[49]
Attack of the 50 Foot Woman,1958,Attack of the 50 Foot Woman[50]
Attack of the 50 Ft. Woman (TV),1993,Attack of the 50 Foot Woman[50]
Attack the Block,2011,[51]
Atom Man vs. Superman (serial),1950,DC - Superman
Attraction,2017,
Avatar,2009,Na'vi[10]
Avatar: The Way of Water,2022,Na'vi[10]
The Avengers,2012,Marvel - MCU [10]
Avengers: Age of Ultron,2015,Marvel - MCU [52]
Avengers: Infinity War,2018,Marvel - MCU [53]
Avengers: Endgame,2019,Marvel - MCU
AVH: Alien vs. Hunter,2007,[32]
Babylon 5: A Call to Arms (TV),1999,
Babylon 5: The Gathering (TV),1993,[54]
Babylon 5: In the Beginning (TV),1998,[55]
Babylon 5: The Legend of the Rangers,2002,
Babylon 5: The Lost Tales (TV),2007,
Babylon 5: The River of Souls (TV),1998,
Babylon 5: Thirdspace (TV),1998,
Bad Taste,1987,[9]
Barbarella,1968,[10]
Batman v Superman: Dawn of Justice,2016,DC Extended Universe[56]
Batteries Not Included,1988,[57]
Battle Beyond the Stars,1980,[58]
Battlefield Earth,2001,[33]
Battle for Terra,2007,[59]
Battle in Outer Space,1959,Godzilla[60]
Battle: Los Angeles,2011,[33]
Battleship,2012,[33]
Batman: Hush,2019,DC Animated Movie Universe
Ben 10: Alien Swarm,2009,Ben 10[61]
Ben 10: Race Against Time,2007,Ben 10[62]
Ben 10: Destroy All Aliens,2012,Ben 10
Beware! The Blob,1972,The Blob[63]
Beyond Skyline,2017,Skyline
Bill & Ted's Bogus Journey,1991,Bill & Ted[57]
Black Antenna,2019,[64]
The Blob,1958,The Blob[10]
The Blob,1988,The Blob[65]
Bloodbath at the House of Death,1983,[66]
Bloodsuckers from Outer Space,1984,[67]
Body Snatchers,1993,Body Snatchers[68]
The Brain,1988,[69]
The Brain from Planet Arous,1957,[70]
Breeders,1986,[71]
Brightburn,2019,
The Brother from Another Planet,1984,[72]
Buck Rogers (serial),1939,Buck Rogers
Buzz Lightyear of Star Command: The Adventure Begins,2000,Toy Story[73]
The Cabbage Soup,1981,
Can of Worms,1999,[74]
The Cape Canaveral Monsters,1960,[75]
Captain Marvel,2019,Marvel - MCU
Captain Video: Master of the Stratosphere (serial),1951,Captain Video and His Video Rangers
Captive State,2019,
Caravan of Courage: An Ewok Adventure (TV),1984,Star Wars[3]
The Cat,1992,[76]
The Cat from Outer Space,1978,[9]
Cat-Women of the Moon,1953,[77]
Ché OVNI,1968,[78]
Chicken Little,2005,[79]
Children of the Damned,1964,...of the Damned[80]
Christmas on Mars,2008,[81]
The Chronicles of Riddick,2004,The Chronicles of Riddick[82]
CJ7,2008,[57]
Close Encounters of the Third Kind,1977,[72]
Cloverfield,2008,Cloverfield[83]
The Cloverfield Paradox,2018,Cloverfield
Cocoon,1985,Cocoon[10]
Cocoon: The Return,1988,Cocoon[84]
Color Out of Space,2019,
Commando Cody: Sky Marshal of the Universe (serial),1953,Commando Cody
Communion,1989,[36]
Coneheads,1993,[10]
Contact,1997,[85]
Cowboys & Aliens,2011,[3]
Creature,1985,[86]
The Creature Wasn't Nice,1983,[87]
The Creeping Terror,1964,[88]
Creepshow,1982,,[89]
Critters,1986,Critters[10]
Critters 2: The Main Course,1988,Critters[90]
Critters 3,1991,Critters[90]
Critters 4,1992,Critters[90]
Critters Attack!,2019,Critters[90]
The Curse,1987,[91]
Daleks' Invasion Earth 2150 A.D.,1966,Doctor Who[92]
Dark City,1998,[33]
The Dark Crystal,1982,[93]
Darkening Sky,2010,[94]
The Darkest Hour,2011,[95]
Dark Skies,2013,[36]
Dark Star,1974,[96]
Dark Universe,1993,[97]
The Day Mars Invaded Earth,1963,[98]
The Day of the Triffids,1962,[9]
The Day the Earth Stood Still,1951,[72]
The Day the Earth Stood Still,2008,The Day the Earth Stood Still[99]
The Day the Earth Stopped,2008,[100]
The Day the World Ended,2001,
The Deadly Spawn,1983,[101]
Deadpool 2,2018,Marvel - X-Men [102]
The Death of Superman,2018,DC Animated Movie Universe
Decoys,2004,Decoys [103]
Decoys 2: Alien Seduction,2007,Decoys [104]
Destroy All Monsters,1968,Godzilla[105]
Devil Girl from Mars,1954,[106]
District 9,2009,[51]
Doctor Strange,2016,Marvel - MCU[107]
Doctor Who,1996,Doctor Who [108]
Don't Look Up,2021,[109]
Doom,2005,[110]
Dragonball Evolution,2009,[111]
Dr. Alien,1989,[112]
Dreamcatcher,2003,[10]
Dr. Who and the Daleks,1965,Doctor Who[113]
"Dude, Where's My Car?",2000,[114]
Dune,1984,Dune[10]
Dune,2021,Dune[10]
Dune Drifter,2020,
E.T. the Extra-Terrestrial,1982,[72]
Earth Girls Are Easy,1988,[10]
Earth to Echo,2014,[57]
Earth vs. the Flying Saucers,1956,[51]
Edge of Tomorrow,2014,[51]
Ender's Game,2013,[115]
Enemy Mine,1985,[33]
Escape from Planet Earth,2013,
Escape to Witch Mountain,1975,Escape to Witch Mountain[116]
Escape to Witch Mountain (TV),1995,Escape to Witch Mountain[117]
Eternals,2021,[118][119]
Europa Report,2013,[29]
Evolution,2001,[120]
Ewoks: The Battle for Endor (TV),1985,Star Wars[121]
Excursion to the Moon,1908,[122]
Explorers,1985,[123]
Extinction,2018,[124]
Extraterrestrial,2011,[125]
Extraterrestrial,2014,[36]
The Eye Creatures,1965,[126]
The Faculty,1998,[33]
Fantastic Four: Rise of the Silver Surfer,2007,Marvel - Fantastic Four[127]
Fantastic Planet,1973,[96]
Feeders,1996,[32]
The Fifth Element,1997,[29]
Fire in the Sky,1993,[128]
Fire Maidens from Outer Space,1956,[129]
First Men in the Moon,1964,The First Men in the Moon[130]
First Spaceship on Venus,1962,[131]
Flash Gordon (serial),1936,Flash Gordon[132]
Flash Gordon,1980,Flash Gordon[10]
Flash Gordon Conquers the Universe (serial),1940,Flash Gordon[133]
Flash Gordon's Trip to Mars (serial),1938,Flash Gordon
Flesh Gordon,1974,Flesh Gordon[9]
Flesh Gordon Meets the Cosmic Cheerleaders,1989,Flesh Gordon[134]
Flight of the Navigator,1986,[9]
Flight to Mars,1950,[135]
The Flintstones in Viva Rock Vegas,2000,The Flintstones[136]
Flying Disc Man from Mars (serial),1950,[137]
Flying Saucer Rock'n'Roll,1997,[138]
Forbidden Planet,1956,[96]
Forbidden World,1982,[139]
The Forgotten,2004,[140]
The Fourth Kind,2009,[36]
Frankenstein Island,1981,Frankenstein[32]
Frankenstein Meets the Space Monster,1965,Frankenstein[141]
Freaks of Nature,2015,[142]
Futurama: Bender's Big Score (TV),2007,Futurama[143]
Futurama: The Beast with a Billion Backs (TV),2008,Futurama[144]
Galaxy Invader,1985,[145]
Galaxy of Terror,1981,[9]
Galaxy Quest,1999,[29]
Gamera: Super Monster,1980,Gamera[146]
Gamera vs. Viras,1968,Gamera[147]
Gamera vs. Zigra,1971,Gamera[148]
The Gendarme and the Extra-Terrestrials,1979,Le gendarme series
